TRANSCRIPT_ID	GENE_NAME
ENST00000456328.2	DDX11L1
ENST00000450305.2	DDX11L1
ENST00000488147.1	WASH7P
ENST00000619216.1	MIR6859-1
ENST00000473358.1	MIR1302-2HG
ENST00000469289.1	MIR1302-2HG
ENST00000607096.1	MIR1302-2
ENST00000417324.1	FAM138A
ENST00000606857.1	OR4G4P
ENST00000642116.1	OR4G11P
ENST00000492842.2	OR4G11P
ENST00000641515.2	OR4F5
ENST00000335137.4	OR4F5
ENST00000466430.5	AL627309.1
ENST00000495576.1	AL627309.3
ENST00000610542.1	AL627309.1
ENST00000442987.3	CICP27
ENST00000494149.2	AL627309.6
ENST00000595919.1	AL627309.7
ENST00000493797.1	AL627309.2
ENST00000484859.1	AL627309.5
ENST00000466557.6	AL627309.5
ENST00000410691.1	RNU6-1100P
ENST00000496488.1	AL627309.4
ENST00000662089.1	AL627309.5
ENST00000624431.2	FO538757.1
ENST00000623083.4	WASH9P
ENST00000612080.1	MIR6859-2
ENST00000442116.1	AP006222.1
ENST00000441866.2	AP006222.1
ENST00000450734.1	AP006222.1
ENST00000669836.1	AP006222.2
ENST00000458203.2	RPL23AP24
ENST00000635159.1	AL732372.1
ENST00000431321.2	AL732372.2
ENST00000437905.2	WBP1LP7
ENST00000426406.3	OR4F29
ENST00000445840.2	AL732372.2
ENST00000432723.3	CICP7
ENST00000514436.1	AL732372.3
ENST00000642124.1	AL732372.2
ENST00000614007.1	U6
ENST00000634833.2	AL669831.3
ENST00000423796.1	AC114498.1
ENST00000634337.2	AL669831.3
ENST00000416931.1	MTND1P23
ENST00000457540.1	MTND2P28
ENST00000414273.1	MTCO1P12
ENST00000621981.1	AC114498.2
ENST00000427426.1	MTCO2P12
ENST00000467115.1	MTATP8P1
ENST00000514057.1	MTATP6P1
ENST00000416718.2	MTCO3P12
ENST00000438434.2	WBP1LP6
ENST00000332831.4	OR4F16
ENST00000636676.1	AL669831.3
ENST00000440782.3	CICP3
ENST00000506640.2	AL669831.1
ENST00000411249.1	RNU6-1199P
ENST00000422528.1	AL669831.2
ENST00000428504.2	AL669831.1
ENST00000670700.1	LINC01409
ENST00000429505.6	LINC01409
ENST00000434264.6	LINC01409
ENST00000656571.1	LINC01409
ENST00000443772.2	LINC01409
ENST00000644482.1	AL669831.6
ENST00000447500.4	AL669831.4
ENST00000667728.1	LINC01409
ENST00000590817.3	AL669831.4
ENST00000326734.2	FAM87B
ENST00000473798.1	LINC00115
ENST00000445118.7	LINC01128
ENST00000670780.1	LINC01128
ENST00000666741.1	LINC01128
ENST00000608189.5	LINC01128
ENST00000609009.6	LINC01128
ENST00000657837.1	LINC01128
ENST00000661237.1	LINC01128
ENST00000661463.1	LINC01128
ENST00000446136.1	FAM41C
ENST00000432963.1	FAM41C
ENST00000415481.1	TUBB8P11
ENST00000635557.1	AL669831.5
ENST00000607769.1	AL645608.6
ENST00000448179.1	AL645608.2
ENST00000398216.2	AL645608.4
ENST00000417705.1	LINC02593
ENST00000342066.8	SAMD11
ENST00000616016.4	SAMD11
ENST00000616125.4	SAMD11
